gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total_Score,Avg_Score,Score_Range,Math_z,Reading_z,Writing_z,Pass_Count,Performance_Level,High_in,Low_in,Percentile,Student_Feedback,Feedback_Length,Sentiment,gender_enc,race/ethnicity_enc,parental level of education_enc,lunch_enc,test preparation course_enc,Performance_Level_enc,High_in_enc,Low_in_enc
male,group D,associate's degree,standard,none,40.0,52.0,43.0,135.0,45.0,12.0,-1.721421645619637,-1.176531857770759,-1.6495855615295747,3,Poor,reading score,math score,5.55,Poor internet and time management affected my study.,8.0,-0.4,1,3,0,1,1,3,1,0
female,group B,high school,standard,none,65.0,81.0,73.0,219.0,73.0,16.0,-0.07185511794548592,0.8107372828519923,0.3256506021922756,3,Good,reading score,math score,62.849999999999994,Poor internet and time management affected my study.,8.0,-0.4,0,1,2,1,1,2,1,0
male,group A,some college,standard,completed,78.0,72.0,70.0,220.0,73.33333333333333,8.0,0.7859194764450727,0.19399858403803502,0.12812698582009055,3,Good,math score,writing score,64.0,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,1,0,4,1,0,2,0,2
female,group A,master's degree,standard,none,50.0,53.0,58.0,161.0,53.666666666666664,8.0,-1.0615950345499765,-1.1080053356803194,-0.6619674796686495,3,Average,writing score,math score,16.8,The practical sessions improved my understanding.,6.0,0.0,0,0,3,1,1,0,2,0
female,group C,some high school,standard,none,69.0,75.0,78.0,222.0,74.0,9.0,0.19207552648237824,0.3995781503093541,0.6548566294792506,3,Good,writing score,math score,65.35,Assignments were too many and stressful but helpful.,8.0,0.5,0,2,5,1,1,2,2,0
male,group C,high school,standard,none,88.0,89.0,86.0,263.0,87.66666666666667,3.0,1.445746087514733,1.35894945957551,1.1815862731384108,3,Excellent,reading score,writing score,92.45,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,1,2,2,1,1,1,1,2
female,group B,some high school,free/reduced,none,27.990000000000002,32.0,31.98,91.98,30.66,14.0,-3.1730401899728897,-2.547062299579553,-2.6372036433905,0,Poor,reading score,math score,0.5499999999999999,Poor internet and time management affected my study.,8.0,-0.4,0,1,5,0,1,3,1,0
male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0,134.0,44.666666666666664,4.0,-1.3255256789778407,-1.861797078675156,-1.4520619451573897,3,Poor,math score,reading score,5.25,The practical sessions improved my understanding.,6.0,0.0,1,2,3,0,0,3,0,1
female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0,173.0,57.666666666666664,7.0,-0.7976643901221123,-0.7653727252281208,-0.46444386329646453,3,Average,writing score,math score,24.15,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,0,2,0,0,1,0,2,0
male,group D,high school,standard,none,66.0,69.0,63.0,198.0,66.0,6.0,-0.005872456838519888,-0.0115809822332841,-0.33276145238167454,3,Average,reading score,writing score,43.25,Assignments were too many and stressful but helpful.,8.0,0.5,1,3,2,1,1,0,1,2
female,group B,some college,free/reduced,completed,65.0,75.0,70.0,210.0,70.0,10.0,-0.07185511794548592,0.3995781503093541,0.12812698582009055,3,Good,reading score,math score,54.75,I enjoyed the classes and felt well prepared for the exam.,11.0,0.5,0,1,4,0,0,2,1,0
male,group D,some college,standard,none,44.0,54.0,53.0,151.0,50.333333333333336,10.0,-1.4574910011917728,-1.0394788135898796,-0.9911735069556247,3,Average,reading score,math score,11.35,I needed more examples and exercises to practice.,8.0,0.5,1,3,4,1,1,0,1,0
female,group C,some high school,standard,none,69.0,73.0,73.0,215.0,71.66666666666667,4.0,0.19207552648237824,0.26252510612847474,0.3256506021922756,3,Good,reading score,math score,59.35,The practical sessions improved my understanding.,6.0,0.0,0,2,5,1,1,2,1,0
male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0,225.0,75.0,9.0,0.5219888320172085,0.1254720619475953,0.7865390403940407,3,Good,writing score,reading score,68.2,I practiced a lot and felt confident about the questions.,10.0,0.5,1,3,1,0,0,2,2,1
male,group A,master's degree,free/reduced,none,73.0,74.0,72.0,219.0,73.0,2.0,0.45600617091024237,0.33105162821891443,0.25980939673488057,3,Good,reading score,writing score,62.849999999999994,I enjoyed the classes and felt well prepared for the exam.,11.0,0.5,1,0,3,0,1,2,1,2
male,group B,some college,standard,none,69.0,54.0,55.0,178.0,59.333333333333336,15.0,0.19207552648237824,-1.0394788135898796,-0.8594910960408346,3,Average,math score,reading score,27.750000000000004,I needed more examples and exercises to practice.,8.0,0.5,1,1,4,1,1,0,0,1
female,group C,bachelor's degree,standard,none,67.0,69.0,75.0,211.0,70.33333333333333,8.0,0.060110204268446155,-0.0115809822332841,0.45733301310706564,3,Good,writing score,math score,55.75,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,0,2,1,1,1,2,2,0
male,group C,high school,standard,none,70.0,70.0,65.0,205.0,68.33333333333333,5.0,0.2580581875893443,0.05694553985715561,-0.2010790414668845,3,Average,math score,writing score,49.6,I felt the exam was fair and covered the syllabus.,10.0,0.7,1,2,2,1,1,0,0,2
female,group D,master's degree,standard,none,62.0,70.0,75.0,207.0,69.0,13.0,-0.26980310126638407,0.05694553985715561,0.45733301310706564,3,Average,writing score,math score,52.05,I was distracted and couldn't focus during online classes.,9.0,0.0,0,3,3,1,1,0,2,0
female,group D,some college,standard,none,69.0,74.0,74.0,217.0,72.33333333333333,5.0,0.19207552648237824,0.33105162821891443,0.3914918076496706,3,Good,reading score,math score,60.95,I practiced a lot and felt confident about the questions.,10.0,0.5,0,3,4,1,1,2,1,0
female,group B,some college,standard,none,63.0,65.0,61.0,189.0,63.0,4.0,-0.203820440159418,-0.2856870705950429,-0.46444386329646453,3,Average,reading score,writing score,35.199999999999996,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,0,1,4,1,1,0,1,2
female,group E,master's degree,free/reduced,none,56.0,72.0,65.0,193.0,64.33333333333333,16.0,-0.6656990679081803,0.19399858403803502,-0.2010790414668845,3,Average,reading score,math score,38.35,Assignments were too many and stressful but helpful.,8.0,0.5,0,4,3,0,1,0,1,0
male,group D,some college,standard,none,40.0,42.0,38.0,120.0,40.0,4.0,-1.721421645619637,-1.861797078675156,-1.97879158881655,3,Poor,reading score,writing score,3.15,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,1,3,4,1,1,3,1,2
male,group E,some college,standard,none,97.0,87.0,82.0,266.0,88.66666666666667,15.0,2.0395900374774274,1.2218964153946306,0.9182214513088307,3,Excellent,math score,writing score,93.5,I felt the exam was fair and covered the syllabus.,10.0,0.7,1,4,4,1,1,1,0,2
male,group E,associate's degree,standard,completed,81.0,81.0,79.0,241.0,80.33333333333333,2.0,0.9838674597659707,0.8107372828519923,0.7206978349366456,3,Good,math score,writing score,81.05,Assignments were too many and stressful but helpful.,8.0,0.5,1,4,0,1,0,2,0,2
female,group D,associate's degree,standard,none,74.0,81.0,83.0,238.0,79.33333333333333,9.0,0.5219888320172085,0.8107372828519923,0.9840626567662257,3,Good,writing score,math score,79.05,I practiced a lot and felt confident about the questions.,10.0,0.5,0,3,0,1,1,2,2,0
female,group D,some high school,free/reduced,none,50.0,64.0,59.0,173.0,57.666666666666664,14.0,-1.0615950345499765,-0.35421359268548264,-0.5961262742112545,3,Average,reading score,math score,24.15,I felt the exam was fair and covered the syllabus.,10.0,0.7,0,3,5,0,1,0,1,0
female,group D,associate's degree,free/reduced,completed,75.0,90.0,88.0,253.0,84.33333333333333,15.0,0.5879714931241745,1.4274759816659497,1.3132686840532009,3,Good,reading score,math score,87.94999999999999,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,0,3,0,0,0,2,1,0
male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0,170.0,56.666666666666664,1.0,-0.5997164068012143,-0.9024257694090002,-0.7278086851260446,3,Average,math score,reading score,22.35,I was distracted and couldn't focus during online classes.,9.0,0.0,1,1,0,0,1,0,0,1
male,group C,associate's degree,free/reduced,none,55.0,61.0,54.0,170.0,56.666666666666664,7.0,-0.7316817290151464,-0.5597931589568017,-0.9253323014982296,3,Average,reading score,writing score,22.35,I practiced a lot and felt confident about the questions.,10.0,0.5,1,2,0,0,1,0,1,2
female,group C,associate's degree,standard,none,58.0,73.0,68.0,199.0,66.33333333333333,15.0,-0.5337337456942483,0.26252510612847474,-0.0035554250946994654,3,Average,reading score,math score,44.2,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,0,2,0,1,1,0,1,0
female,group B,associate's degree,standard,none,53.0,58.0,65.0,176.0,58.666666666666664,12.0,-0.8636470512290784,-0.7653727252281208,-0.2010790414668845,3,Average,writing score,math score,26.1,I needed more examples and exercises to practice.,8.0,0.5,0,1,0,1,1,0,2,0
male,group B,some college,free/reduced,completed,59.0,65.0,66.0,190.0,63.333333333333336,7.0,-0.46775108458728215,-0.2856870705950429,-0.1352378360094895,3,Average,writing score,math score,35.8,I practiced a lot and felt confident about the questions.,10.0,0.5,1,1,4,0,0,0,2,0
female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0,160.0,53.333333333333336,6.0,-1.0615950345499765,-0.9024257694090002,-0.9253323014982296,3,Average,reading score,math score,16.25,I needed more examples and exercises to practice.,8.0,0.5,0,4,0,0,1,0,1,0
male,group B,associate's degree,standard,none,65.0,54.0,57.0,176.0,58.666666666666664,11.0,-0.07185511794548592,-1.0394788135898796,-0.7278086851260446,3,Average,math score,reading score,26.1,Assignments were too many and stressful but helpful.,8.0,0.5,1,1,0,1,1,0,0,1
female,group A,associate's degree,standard,completed,55.0,65.0,62.0,182.0,60.666666666666664,10.0,-0.7316817290151464,-0.2856870705950429,-0.39860265783906956,3,Average,reading score,math score,30.5,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,0,0,0,1,0,0,1,0
female,group C,high school,standard,none,66.0,71.0,76.0,213.0,71.0,10.0,-0.005872456838519888,0.1254720619475953,0.5231742185644607,3,Good,writing score,math score,57.199999999999996,I was distracted and couldn't focus during online classes.,9.0,0.0,0,2,2,1,1,2,2,0
female,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0,207.0,69.0,19.0,-0.5997164068012143,0.33105162821891443,0.5231742185644607,3,Average,writing score,math score,52.05,I felt the exam was fair and covered the syllabus.,10.0,0.7,0,3,0,0,0,0,2,0
male,group C,high school,standard,completed,82.0,84.0,82.0,248.0,82.66666666666667,2.0,1.0498501208729367,1.0163168491233114,0.9182214513088307,3,Good,reading score,math score,84.95,Poor internet and time management affected my study.,8.0,-0.4,1,2,2,1,0,2,1,0
male,group E,some college,standard,none,53.0,55.0,48.0,156.0,52.0,7.0,-0.8636470512290784,-0.97095229149944,-1.3203795342425997,3,Average,reading score,writing score,14.399999999999999,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,1,4,4,1,1,0,1,2
male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0,214.0,71.33333333333333,9.0,0.7199368153381066,-0.0115809822332841,-0.0035554250946994654,3,Good,math score,writing score,58.35,I enjoyed the classes and felt well prepared for the exam.,11.0,0.5,1,4,0,0,0,2,0,2
male,group C,some college,standard,none,53.0,44.0,42.0,139.0,46.333333333333336,11.0,-0.8636470512290784,-1.7247440344942766,-1.7154267669869698,3,Poor,math score,writing score,6.5,I was distracted and couldn't focus during online classes.,9.0,0.0,1,2,4,1,1,3,0,2
male,group D,high school,standard,none,88.0,78.0,75.0,241.0,80.33333333333333,13.0,1.445746087514733,0.6051577165806732,0.45733301310706564,3,Good,math score,writing score,81.05,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,1,3,2,1,1,2,0,2
female,group C,some high school,free/reduced,completed,71.0,84.0,87.0,242.0,80.66666666666667,16.0,0.32404084869631034,1.0163168491233114,1.2474274785958057,3,Good,writing score,math score,81.8,Poor internet and time management affected my study.,8.0,-0.4,0,2,5,0,0,2,2,0
female,group C,high school,free/reduced,none,33.0,41.0,43.0,117.0,39.0,10.0,-2.183300273368399,-1.9303236007655957,-1.6495855615295747,2,Poor,writing score,math score,2.55,I was distracted and couldn't focus during online classes.,9.0,0.0,0,2,2,0,1,3,2,0
female,group E,associate's degree,standard,completed,82.0,85.0,86.0,253.0,84.33333333333333,4.0,1.0498501208729367,1.084843371213751,1.1815862731384108,3,Good,writing score,math score,87.94999999999999,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,0,4,0,1,0,2,2,0
male,group D,associate's degree,standard,none,52.0,55.0,49.0,156.0,52.0,6.0,-0.9296297123360444,-0.97095229149944,-1.2545383287852048,3,Average,reading score,writing score,14.399999999999999,The practical sessions improved my understanding.,6.0,0.0,1,3,0,1,1,0,1,2
male,group D,some college,standard,completed,58.0,59.0,58.0,175.0,58.333333333333336,1.0,-0.5337337456942483,-0.6968462031376811,-0.6619674796686495,3,Average,reading score,math score,25.2,The practical sessions improved my understanding.,6.0,0.0,1,3,4,1,0,0,1,0
female,group C,some high school,free/reduced,none,27.990000000000002,31.990000000000002,31.98,91.98,30.66,17.0,-4.360728089898279,-3.5749601309361485,-3.82234534162361,0,Poor,reading score,math score,0.1,I needed more examples and exercises to practice.,8.0,0.5,0,2,5,0,1,3,1,0
male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0,225.0,75.0,7.0,0.8519021375520386,0.33105162821891443,0.25980939673488057,3,Good,math score,writing score,68.2,I was distracted and couldn't focus during online classes.,9.0,0.0,1,4,1,0,0,2,0,2
male,group A,some high school,free/reduced,none,39.0,39.0,34.0,112.0,37.333333333333336,5.0,-1.787404306726603,-2.067376644946475,-2.24215641064613,2,Poor,math score,writing score,1.9,The practical sessions improved my understanding.,6.0,0.0,1,0,5,0,1,3,0,2
male,group A,associate's degree,free/reduced,none,62.0,61.0,55.0,178.0,59.333333333333336,7.0,-0.26980310126638407,-0.5597931589568017,-0.8594910960408346,3,Average,math score,writing score,27.750000000000004,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,1,0,0,0,1,0,0,2
female,group C,associate's degree,standard,none,69.0,80.0,71.0,220.0,73.33333333333333,11.0,0.19207552648237824,0.7422107607615527,0.19396819127748557,3,Good,reading score,math score,64.0,I needed more examples and exercises to practice.,8.0,0.5,0,2,0,1,1,2,1,0
female,group D,some high school,standard,none,59.0,58.0,59.0,176.0,58.666666666666664,1.0,-0.46775108458728215,-0.7653727252281208,-0.5961262742112545,3,Average,math score,reading score,26.1,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,0,3,5,1,1,0,0,1
male,group B,some high school,standard,none,67.0,64.0,61.0,192.0,64.0,6.0,0.060110204268446155,-0.35421359268548264,-0.46444386329646453,3,Average,math score,writing score,37.4,I needed more examples and exercises to practice.,8.0,0.5,1,1,5,1,1,0,0,2
male,group D,some high school,free/reduced,none,45.0,37.0,37.0,119.0,39.666666666666664,8.0,-1.3915083400848067,-2.2044296891273545,-2.044632794273945,3,Poor,math score,reading score,2.9000000000000004,I was distracted and couldn't focus during online classes.,9.0,0.0,1,3,5,0,1,3,0,1
female,group C,some college,standard,none,60.0,72.0,74.0,206.0,68.66666666666667,14.0,-0.4017684234803161,0.19399858403803502,0.3914918076496706,3,Average,writing score,math score,50.849999999999994,Poor internet and time management affected my study.,8.0,-0.4,0,2,4,1,1,0,2,0
male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0,175.0,58.333333333333336,5.0,-0.3357857623733501,-0.7653727252281208,-0.7936498905834396,3,Average,math score,writing score,25.2,I felt the exam was fair and covered the syllabus.,10.0,0.7,1,1,0,0,1,0,0,2
female,group C,associate's degree,standard,none,39.0,64.0,57.0,160.0,53.333333333333336,24.0,-1.787404306726603,-0.35421359268548264,-0.7278086851260446,3,Average,reading score,math score,16.25,I practiced a lot and felt confident about the questions.,10.0,0.5,0,2,0,1,1,0,1,0
female,group D,some college,free/reduced,completed,58.0,63.0,73.0,194.0,64.66666666666667,15.0,-0.5337337456942483,-0.4227401147759223,0.3256506021922756,3,Average,writing score,math score,39.4,Poor internet and time management affected my study.,8.0,-0.4,0,3,4,0,0,0,2,0
male,group D,some college,standard,completed,63.0,55.0,63.0,181.0,60.333333333333336,8.0,-0.203820440159418,-0.97095229149944,-0.33276145238167454,3,Average,math score,reading score,29.75,Assignments were too many and stressful but helpful.,8.0,0.5,1,3,4,1,0,0,0,1
female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0,140.0,46.666666666666664,10.0,-1.655438984512671,-1.2450583798611987,-1.3203795342425997,3,Poor,reading score,math score,6.950000000000001,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,0,0,0,0,1,3,1,0
male,group C,some high school,free/reduced,none,61.0,57.0,56.0,174.0,58.0,5.0,-0.3357857623733501,-0.8338992473185606,-0.7936498905834396,3,Average,math score,writing score,24.65,Assignments were too many and stressful but helpful.,8.0,0.5,1,2,5,0,1,0,0,2
male,group C,some high school,standard,none,49.0,49.0,41.0,139.0,46.333333333333336,8.0,-1.1275776956569425,-1.3821114240420782,-1.7812679724443647,3,Poor,math score,writing score,6.5,Poor internet and time management affected my study.,8.0,-0.4,1,2,5,1,1,3,0,2
male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0,123.0,41.0,6.0,-1.4574910011917728,-1.9303236007655957,-1.97879158881655,3,Poor,math score,writing score,3.55,I needed more examples and exercises to practice.,8.0,0.5,1,1,0,0,1,3,0,2
male,group E,some high school,standard,none,30.0,31.990000000000002,31.98,91.98,30.66,8.0,-2.381248256689297,-2.9582214321221914,-3.03225087613487,0,Poor,math score,writing score,0.5499999999999999,I practiced a lot and felt confident about the questions.,10.0,0.5,1,4,5,1,1,3,0,2
male,group A,bachelor's degree,standard,completed,80.0,78.0,81.0,239.0,79.66666666666667,3.0,0.9178847986590046,0.6051577165806732,0.8523802458514357,3,Good,writing score,reading score,79.85,I practiced a lot and felt confident about the questions.,10.0,0.5,1,0,1,1,0,2,2,1
female,group D,some high school,standard,completed,61.0,74.0,72.0,207.0,69.0,13.0,-0.3357857623733501,0.33105162821891443,0.25980939673488057,3,Average,reading score,math score,52.05,I enjoyed the classes and felt well prepared for the exam.,11.0,0.5,0,3,5,1,0,0,1,0
female,group E,master's degree,standard,none,62.0,68.0,68.0,198.0,66.0,6.0,-0.26980310126638407,-0.08010750432372381,-0.0035554250946994654,3,Average,reading score,math score,43.25,I practiced a lot and felt confident about the questions.,10.0,0.5,0,4,3,1,1,0,1,0
female,group B,associate's degree,standard,none,47.0,49.0,50.0,146.0,48.666666666666664,3.0,-1.2595430178708746,-1.3821114240420782,-1.1886971233278096,3,Poor,writing score,math score,8.85,I felt the exam was fair and covered the syllabus.,10.0,0.7,0,1,0,1,1,3,2,0
male,group B,high school,free/reduced,none,49.0,45.0,45.0,139.0,46.333333333333336,4.0,-1.1275776956569425,-1.656217512403837,-1.5179031506147846,3,Poor,math score,reading score,6.5,I practiced a lot and felt confident about the questions.,10.0,0.5,1,1,2,0,1,3,0,1
male,group A,some college,free/reduced,completed,50.0,47.0,54.0,151.0,50.333333333333336,7.0,-1.0615950345499765,-1.5191644682229575,-0.9253323014982296,3,Average,writing score,reading score,11.35,Poor internet and time management affected my study.,8.0,-0.4,1,0,4,0,0,0,2,1
male,group E,associate's degree,standard,none,72.0,64.0,63.0,199.0,66.33333333333333,9.0,0.3900235098032764,-0.35421359268548264,-0.33276145238167454,3,Average,math score,writing score,44.2,I enjoyed the classes and felt well prepared for the exam.,11.0,0.5,1,4,0,1,1,0,0,2
male,group D,high school,free/reduced,none,42.0,39.0,34.0,115.0,38.333333333333336,8.0,-1.5894563234057049,-2.067376644946475,-2.24215641064613,2,Poor,math score,writing score,2.25,Poor internet and time management affected my study.,8.0,-0.4,1,3,2,0,1,3,0,2
female,group C,some college,standard,none,73.0,80.0,82.0,235.0,78.33333333333333,9.0,0.45600617091024237,0.7422107607615527,0.9182214513088307,3,Good,writing score,math score,76.6,Poor internet and time management affected my study.,8.0,-0.4,0,2,4,1,1,2,2,0
female,group C,some college,free/reduced,none,76.0,83.0,88.0,247.0,82.33333333333333,12.0,0.6539541542311406,0.9477903270328718,1.3132686840532009,3,Good,writing score,math score,84.1,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,0,2,4,0,1,2,2,0
female,group D,associate's degree,standard,none,71.0,71.0,74.0,216.0,72.0,3.0,0.32404084869631034,0.1254720619475953,0.3914918076496706,3,Good,writing score,math score,60.199999999999996,I enjoyed the classes and felt well prepared for the exam.,11.0,0.5,0,3,0,1,1,2,2,0
female,group A,some college,standard,none,58.0,70.0,67.0,195.0,65.0,12.0,-0.5337337456942483,0.05694553985715561,-0.06939663055209448,3,Average,reading score,math score,40.400000000000006,Poor internet and time management affected my study.,8.0,-0.4,0,0,4,1,1,0,1,0
female,group D,some high school,standard,none,73.0,86.0,82.0,241.0,80.33333333333333,13.0,0.45600617091024237,1.153369893304191,0.9182214513088307,3,Good,reading score,math score,81.05,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,0,3,5,1,1,2,1,0
female,group C,bachelor's degree,standard,none,65.0,72.0,74.0,211.0,70.33333333333333,9.0,-0.07185511794548592,0.19399858403803502,0.3914918076496706,3,Good,writing score,math score,55.75,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,0,2,1,1,1,2,2,0
male,group C,high school,free/reduced,none,27.990000000000002,34.0,36.0,97.0,32.333333333333336,9.0,-2.5791962400101953,-2.410009255398674,-2.1104739997313398,1,Poor,writing score,math score,1.5,I enjoyed the classes and felt well prepared for the exam.,11.0,0.5,1,2,2,0,1,3,2,0
male,group C,high school,standard,none,71.0,79.0,71.0,221.0,73.66666666666667,8.0,0.32404084869631034,0.6736842386711129,0.19396819127748557,3,Good,reading score,math score,64.8,Assignments were too many and stressful but helpful.,8.0,0.5,1,2,2,1,1,2,1,0
male,group C,associate's degree,free/reduced,completed,43.0,45.0,50.0,138.0,46.0,7.0,-1.5234736622987388,-1.656217512403837,-1.1886971233278096,3,Poor,writing score,math score,6.1,I needed more examples and exercises to practice.,8.0,0.5,1,2,0,0,0,3,2,0
female,group B,some college,standard,none,79.0,86.0,92.0,257.0,85.66666666666667,13.0,0.8519021375520386,1.153369893304191,1.5766335058827807,3,Excellent,writing score,math score,89.55,I felt the exam was fair and covered the syllabus.,10.0,0.7,0,1,4,1,1,1,2,0
male,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0,241.0,80.33333333333333,4.0,0.7859194764450727,0.8107372828519923,0.9182214513088307,3,Good,writing score,math score,81.05,I needed more examples and exercises to practice.,8.0,0.5,1,2,0,0,0,2,2,0
male,group B,some high school,standard,completed,65.0,66.0,62.0,193.0,64.33333333333333,4.0,-0.07185511794548592,-0.2171605485046032,-0.39860265783906956,3,Average,reading score,writing score,38.35,I practiced a lot and felt confident about the questions.,10.0,0.5,1,1,5,1,0,0,1,2
female,group E,some college,standard,completed,63.0,72.0,70.0,205.0,68.33333333333333,9.0,-0.203820440159418,0.19399858403803502,0.12812698582009055,3,Average,reading score,math score,49.6,I felt the exam was fair and covered the syllabus.,10.0,0.7,0,4,4,1,0,0,1,0
female,group D,some college,free/reduced,none,58.0,67.0,62.0,187.0,62.333333333333336,9.0,-0.5337337456942483,-0.1486340264141635,-0.39860265783906956,3,Average,reading score,math score,34.050000000000004,I practiced a lot and felt confident about the questions.,10.0,0.5,0,3,4,0,1,0,1,0
female,group D,bachelor's degree,standard,none,65.0,67.0,62.0,194.0,64.66666666666667,5.0,-0.07185511794548592,-0.1486340264141635,-0.39860265783906956,3,Average,reading score,writing score,39.4,Poor internet and time management affected my study.,8.0,-0.4,0,3,1,1,1,0,1,2
male,group B,some college,standard,none,79.0,67.0,67.0,213.0,71.0,12.0,0.8519021375520386,-0.1486340264141635,-0.06939663055209448,3,Good,math score,reading score,57.199999999999996,I found the exam hard and I was not confident.,10.0,-0.27083333333333337,1,1,4,1,1,2,0,1
male,group D,bachelor's degree,standard,completed,68.0,74.0,74.0,216.0,72.0,6.0,0.1260928653754122,0.33105162821891443,0.3914918076496706,3,Good,reading score,math score,60.199999999999996,I enjoyed the classes and felt well prepared for the exam.,11.0,0.5,1,3,1,1,0,2,1,0
female,group D,associate's degree,standard,none,85.0,91.0,89.0,265.0,88.33333333333333,6.0,1.2477981041938349,1.4960025037563893,1.3791098895105958,3,Excellent,reading score,math score,93.0,I felt the exam was fair and covered the syllabus.,10.0,0.7,0,3,0,1,1,1,1,0
